sku_id,sku_code,main_design,wire_size,dimensions,design_type,line,cut,karat,color,price,image_filename,
1,2BOXCHANKYA-NA-NA-Chanakya---StC-22KT-YG,2BOXCHANKYA,NA,NA,Chanakya,,,StC, ,209,2BOXCHANKYA1,
2,BALL-0.20mm-1.5gms-CABLE-2Line..-8CUT-10KT-RG,BALL,0.20mm,1.5gms,CABLE,2Line..,8CUT,10KT,RG,283,BALL2,
3,BALL-0.30.5mm-1mm 4X7-Singapuri Ball-10line-Flat Cut-10KT-RG,BALL,0.30.5mm,1mm 4X7,Singapuri Ball,10line,Flat Cut,10KT,RG,201,BALL3,
4,BALL-0.30.5mm-1mm 4X7-Singapuri Ball-10line-Flat Cut-10KT-WG,BALL,0.30.5mm,1mm 4X7,Singapuri Ball,10line,Flat Cut,10KT,WG,315,BALL4,
5,BALL-0.30.5mm-1mm 4X7-Singapuri Ball-10line-Flat Cut-10KT-YG,BALL,0.30.5mm,1mm 4X7,Singapuri Ball,10line,Flat Cut,10KT,YG,525,BALL5,
6,BALL-0.30.5mm-1mm 4X7-Singapuri Ball-10line-Flat Cut-14KT-RG,BALL,0.30.5mm,1mm 4X7,Singapuri Ball,10line,Flat Cut,14KT,RG,846,BALL6,
7,BALL-0.30.5mm-1mm 4X7-Singapuri Ball-10line-Flat Cut-14KT-WG,BALL,0.30.5mm,1mm 4X7,Singapuri Ball,10line,Flat Cut,14KT,WG,783,BALL7,
8,BALL-0.30.5mm-1mm 4X7-Singapuri Ball-10line-Flat Cut-14KT-YG,BALL,0.30.5mm,1mm 4X7,Singapuri Ball,10line,Flat Cut,14KT,YG,734,BALL8,
9,BALL-0.30.5mm-1mm 4X7-Singapuri Ball-10line-Flat Cut-18KT-RG,BALL,0.30.5mm,1mm 4X7,Singapuri Ball,10line,Flat Cut,18KT,RG,699,BALL9,
10,BALL-0.30.5mm-1mm 4X7-Singapuri Ball-10line-Flat Cut-18KT-WG,BALL,0.30.5mm,1mm 4X7,Singapuri Ball,10line,Flat Cut,18KT,WG,645,BALL10,
11,BALL-0.30.5mm-1mm 4X7-Singapuri Ball-10line-Flat Cut-18KT-YG,BALL,0.30.5mm,1mm 4X7,Singapuri Ball,10line,Flat Cut,18KT,YG,112,BALL11,
12,BALL-0.30.5mm-1mm 4X7-Singapuri Ball-10line-Flat Cut-20KT-YG,BALL,0.30.5mm,1mm 4X7,Singapuri Ball,10line,Flat Cut,20KT,YG,425,BALL12,
13,BALL-0.30.5mm-1mm 4X7-Singapuri Ball-10line-Flat Cut-21KT-YG,BALL,0.30.5mm,1mm 4X7,Singapuri Ball,10line,Flat Cut,21KT,YG,385,BALL13,
14,BALL-0.30.5mm-1mm 4X7-Singapuri Ball-10line-Flat Cut-22KT-YG,BALL,0.30.5mm,1mm 4X7,Singapuri Ball,10line,Flat Cut,22KT,YG,530,BALL14,
15,BALL-0.30.5mm-1mm 4X7-Singapuri Ball-10line-Flat Cut-9KT-RG,BALL,0.30.5mm,1mm 4X7,Singapuri Ball,10line,Flat Cut,9KT,RG,521,BALL15,
16,BALL-0.30.5mm-1mm 4X7-Singapuri Ball-10line-Flat Cut-9KT-WG,BALL,0.30.5mm,1mm 4X7,Singapuri Ball,10line,Flat Cut,9KT,WG,987,BALL16,
17,BALL-0.30.5mm-1mm 4X7-Singapuri Ball-10line-Flat Cut-9KT-YG,BALL,0.30.5mm,1mm 4X7,Singapuri Ball,10line,Flat Cut,9KT,YG,861,BALL17,
18,BALL-0.30.5mm-1mm 4X7-Singapuri Ball-1Line-8CUT-18KT-RG,BALL,0.30.5mm,1mm 4X7,Singapuri Ball,1Line,8CUT,18KT,RG,293,BALL18,
19,BALL-0.30.5mm-1mm 4X7-Singapuri Ball-2Line-Flat Cut-10KT-RG,BALL,0.30.5mm,1mm 4X7,Singapuri Ball,2Line,Flat Cut,10KT,RG,167,BALL19,
20,BALL-0.30.5mm-1mm 4X7-Singapuri Ball-2Line-Flat Cut-10KT-WG,BALL,0.30.5mm,1mm 4X7,Singapuri Ball,2Line,Flat Cut,10KT,WG,564,BALL20,
21,BALL-0.30.5mm-1mm 4X7-Singapuri Ball-2Line-Flat Cut-10KT-YG,BALL,0.30.5mm,1mm 4X7,Singapuri Ball,2Line,Flat Cut,10KT,YG,115,BALL21,
